Wall time,Step,Value
1542189436.959768,418,1.45555823110044e-05
1542189437.600824,419,1.4130556337477174e-05
1542189438.2240775,420,1.424541824235348e-05
1542189438.865275,421,1.429648091288982e-05
1542189439.4351416,422,1.4276722140493803e-05
1542189440.1152272,423,1.4244755220715888e-05
1542189440.892027,424,1.454921584809199e-05
1542189441.6812034,425,1.4037689652468543e-05
1542189442.372049,426,1.4329631085274741e-05
1542189442.9537637,427,1.5175831322267186e-05
1542189443.524628,428,1.4225485756469425e-05
1542189444.0956225,429,1.4592914340028074e-05
1542189444.6640394,430,1.4520758668368217e-05
1542189445.2484987,431,1.4576082321582362e-05
1542189445.9228904,432,1.4606565855501685e-05
1542189446.5474887,433,1.4101346096140333e-05
1542189447.0991352,434,1.4501642908726353e-05
1542189447.7004356,435,1.4714949429617263e-05
1542189448.296363,436,1.425800655852072e-05
1542189448.8892028,437,1.4842355994915124e-05
1542189449.5343573,438,1.4536451999447308e-05
1542189450.1354754,439,1.4770634152228013e-05
1542189450.7325652,440,1.4630321857111994e-05
1542189451.3219516,441,1.4204554645402823e-05
1542189451.9126842,442,1.4423304492083844e-05
1542189452.5595472,443,1.4599505448131822e-05
1542189453.1881702,444,1.4420364095713012e-05
1542189453.834456,445,1.4167726476443931e-05
1542189454.4299576,446,1.3761021364189219e-05
1542189455.0960143,447,1.4354570339492057e-05
1542189455.7456205,448,1.4616004591516685e-05
1542189456.3914297,449,1.4945166185498238e-05
1542189457.1069777,450,1.4688952433061786e-05
1542189457.7875912,451,1.3901595593779348e-05
1542189458.4636025,452,1.427797269570874e-05
1542189459.058968,453,1.4700093743158504e-05
1542189459.6085742,454,1.4736679986526724e-05
1542189460.184584,455,1.4702911357744597e-05
1542189460.7712996,456,1.4472227121586911e-05
1542189461.35558,457,1.4341447240440175e-05
1542189461.9393666,458,1.4044496310816612e-05
1542189462.5562844,459,1.3944017155154143e-05
1542189463.1600955,460,1.3728624253417365e-05
1542189463.7934527,461,1.4149947674013674e-05
1542189464.3986154,462,1.5435951354447752e-05
1542189465.026139,463,1.4274743080022745e-05
1542189465.6196718,464,1.4435990124184173e-05
1542189466.2088587,465,1.4605936485168058e-05
1542189466.8343375,466,1.3840779502061196e-05
1542189467.4648333,467,1.3939974451204762e-05
1542189468.1203396,468,1.4287100384535734e-05
1542189468.7842705,469,1.470017832616577e-05
1542189469.413971,470,1.4622748494730331e-05
1542189470.0387807,471,1.3740765098191332e-05
1542189470.7071385,472,1.437181344954297e-05
1542189471.3476963,473,1.4447132343775593e-05
1542189471.9657533,474,1.3884327927371487e-05
